10 juli 2025 16:00; 25,2; 37,3027; 1011,57; 61; 62; 77; 0; 4 ; 5,78229856491089; 24,2201519012451;43; 1017,98968505859
10 juli 2025 17:00; 26,7; 32,3438; 1011,57; 62; 61; 77; 0; 3 ; 7,39287233352661; 24,0593872070312;44; 1017,97979736328
10 juli 2025 18:00; 28,11; 29,8027; 1011,06; 61; 61; 77; 0; 2 ; 7,75410318374634; 23,5883808135986;46; 1017,88995361328
10 juli 2025 19:00; 26,55; 39,5898; 1011,06; 62; 61; 78; 0; 1 ; 7,20296859741211; 22,9878997802734;48; 1017,95025634766
10 juli 2025 20:00; 24,62; 43,3291; 1011,06; 61; 61; 77; 0; 0 ; 7,49939012527466; 21,8541011810303;52; 1018,08074951172
10 juli 2025 21:00; 23,99; 45,7578; 1011,56; 61; 60; 77; 0; 0 ; 7,72815465927124; 19,6747703552246;61; 1018,43054199219
10 juli 2025 22:00; 22,64; 52,3213; 1011,56; 60; 61; 77; 0; 0 ; 6,6951847076416; 17,3973484039307;68; 1018,65020751953
10 juli 2025 23:00; 21,67; 54,3857; 1012,07; 60; 61; 76; 0; 0 ; 6,18016529083252; 15,7469911575317;73; 1018,71997070312
11 juli 2025 00:00; 20,84; 55,5127; 1012,07; 60; 61; 76; 0; 0 ; 6,10854387283325; 14,6380081176758;76; 1018,67993164062
11 juli 2025 01:00; 20,27; 59,958; 1012,07; 61; 61; 77; 0; 0 ; 5,5063591003418; 13,6977367401123;78; 1018,66986083984
11 juli 2025 02:00; 19,17; 64,4316; 1012,07; 60; 61; 77; 0; 0 ; 4,74740695953369; 12,7984008789062;80; 1018,57971191406
11 juli 2025 03:00; 18,59; 65,499; 1011,56; 60; 60; 76; 0; 0 ; 4,48641061782837; 12,1192836761475;82; 1018,39978027344
11 juli 2025 04:00; 17,45; 67,8037; 1011,56; 59; 60; 75; 0; 0 ; 5,65837001800537; 11,8699779510498;82; 1018,18957519531
11 juli 2025 05:00; 16,97; 68,3203; 1011,56; 58; 60; 75; 0; 0 ; 6,83225631713867; 12,1720056533813;82; 1017,99945068359
11 juli 2025 06:00; 16,9; 68,8027; 1011,06; 58; 59; 75; 0; 0 ; 7,55840682983398; 13,3933362960815;78; 1017,85968017578
11 juli 2025 07:00; 17,45; 67,0674; 1011,06; 57; 59; 75; 0; 1 ; 8,53660774230957; 15,1560354232788;76; 1017,7197265625
11 juli 2025 08:00; 17,87; 70,5547; 1011,06; 57; 59; 75; 0; 1 ; 9,84586715698242; 17,0685977935791;74; 1017,71002197266
11 juli 2025 09:00; 18,75; 59,6836; 1011,06; 57; 59; 75; 0; 2 ; 12,6849317550659; 18,5436992645264;64; 1017,61981201172
11 juli 2025 10:00; 19,27; 54,0273; 1011,06; 57; 58; 74; 0; 3 ; 14,521993637085; 19,9221668243408;52; 1017,50964355469
